,precision,recall,f1-score,support
0,0.47173103769194974,1.0,0.6410560430005533,12165.0
1,0.0,0.0,0.0,10109.0
2,0.75,0.003121748178980229,0.0062176165803108805,2883.0
3,0.0,0.0,0.0,570.0
4,0.0,0.0,0.0,72.0
5,0.0,0.0,0.0,1.0
accuracy,0.47186046511627905,0.47186046511627905,0.47186046511627905,0.47186046511627905
macro avg,0.20362183961532496,0.16718695802983005,0.10787894326347736,25800.0
weighted avg,0.3062348090512624,0.47186046511627905,0.3029601609187119,25800.0
