,precision,recall,f1-score,support
0,0.7683804951995957,1.0,0.8690216808943816,12165.0
1,0.7264321154713577,0.6372539321396775,0.6789271223059493,10109.0
2,0.67,0.25563648976760317,0.3700728094401205,2883.0
3,0.0,0.0,0.0,570.0
4,0.0,0.0,0.0,72.0
5,0.0,0.0,0.0,1.0
accuracy,0.7497674418604651,0.7497674418604651,0.7497674418604651,0.7497674418604651
macro avg,0.3608021017784922,0.3154817369845468,0.3196702687734086,25800.0
weighted avg,0.7218008131551564,0.7497674418604651,0.7171256952359247,25800.0
