,precision,recall,f1-score,support
0,1.0,1.0,1.0,12165.0
1,1.0,1.0,1.0,10109.0
2,1.0,1.0,1.0,2883.0
3,1.0,1.0,1.0,570.0
4,0.9863013698630136,1.0,0.993103448275862,72.0
5,0.0,0.0,0.0,1.0
accuracy,0.9999612403100775,0.9999612403100775,0.9999612403100775,0.9999612403100775
macro avg,0.8310502283105023,0.8333333333333334,0.8321839080459771,25800.0
weighted avg,0.9999230115748114,0.9999612403100775,0.9999419941192196,25800.0
